delayed_amount,delay,cue
22,20,Starting College
29,39,Finishing Thesis
24,49,
21,19,Travel Abroad
21,53,Family Reunion
22,36,Graduation
25,35,
30,27,Interview Day
26,56,
24,36,Birthday Party
23,31,
24,44,
21,23,
26,40,
22,19,
30,39,Friend's Wedding
25,24,Vacation
21,31,Getting Pet
28,51,Promotion Day
24,44,Running Marathon
26,56,
29,55,Music Festival
29,22,Launching a Project
25,32,
24,49,Starting Internship
22,31,
27,42,
22,21,Buying Car
27,37,Concert Night
30,23,
29,40,
27,57,Volunteering Event
24,28,First Job
24,33,Ski Trip
26,20,
25,60,Opening Night
22,51,
21,20,First Apartment
30,37,Moving Day
23,46,
24,28,
27,54,Art Show
26,29,
28,28,
29,50,Class Reunion
24,40,
22,17,Publishing Paper
23,21,New Year
24,47,
24,38,Final Exam
24,38,
27,60,
28,52,
23,17,Retirement Party
21,46,
23,30,
21,32,Wedding Day
25,52,
29,50,
25,24,